viewDate,areaMunKm,areaUcKm,uc,uf,municipio
20/12/2019,0.13,0,,AM,Apui
20/12/2019,0.07,0,,AM,Apui
20/12/2019,0.07,0,,PA,Jacareacanga
20/12/2019,0.15,0,,MT,Matupa
20/12/2019,0.07,0,,PA,Jacareacanga
20/12/2019,0.07,0,,PA,Jacareacanga
20/12/2019,0.37,0,,MT,Peixoto de Azevedo
20/12/2019,0.1,0,,MT,Apiacas
20/12/2019,0.13,0,,MT,Apiacas
20/12/2019,0.12,0,,MT,Apiacas
20/12/2019,0.24,0,,MT,Apiacas
20/12/2019,0.19,0,,MT,Apiacas
20/12/2019,0.07,0,,PA,Jacareacanga
24/12/2019,3.48,0,,PA,Paragominas
24/12/2019,0.84,0,,PA,Paragominas
24/12/2019,0.88,0,,PA,Paragominas
24/12/2019,1.57,0,,PA,Paragominas
24/12/2019,0.71,0,,MA,Itinga do Maranhao
24/12/2019,0.09,0,,MA,Itinga do Maranhao
24/12/2019,0.31,0,,PA,Ulianopolis
24/12/2019,0.07,0,,PA,Tailandia
24/12/2019,0.11,0,,PA,Tailandia
24/12/2019,0.19,0,,MA,Bom Jardim
24/12/2019,0.18,0,,MA,Bom Jardim
24/12/2019,0.06,0,,MA,Itinga do Maranhao
24/12/2019,0.13,0,,MA,Itinga do Maranhao
24/12/2019,0.1,0,,PA,Paragominas
24/12/2019,0.96,0,,MA,Itinga do Maranhao
24/12/2019,0.15,0,,MA,Buriticupu
24/12/2019,0.21,0,,PA,Tailandia
24/12/2019,0.11,0,,PA,Tailandia
24/12/2019,0.13,0,,PA,Tailandia
24/12/2019,0.54,0,,PA,Tailandia
24/12/2019,0.08,0,,PA,Tailandia
24/12/2019,0.09,0,,PA,Tailandia
24/12/2019,0.15,0,,PA,Tailandia
24/12/2019,0.07,0,,PA,Tailandia
24/12/2019,0.08,0,,MA,Buriticupu
24/12/2019,0.16,0,,MA,Buriticupu
24/12/2019,0.06,0,,MA,Buriticupu
24/12/2019,0.07,0,,MA,Santa Luzia
24/12/2019,0.22,0,,MA,Santa Luzia
24/12/2019,0.08,0,,MA,Buriticupu
24/12/2019,0.08,0,,MA,Buriticupu
24/12/2019,0.44,0,,MA,Centro Novo do Maranhao
24/12/2019,0.18,0,,PA,Ulianopolis
24/12/2019,0.2,0,,MA,Arame
24/12/2019,0.09,0,,MA,Santa Luzia
24/12/2019,1.49,0,,MA,Itinga do Maranhao
24/12/2019,0.16,0,,MA,Arame
24/12/2019,0.08,0,,MA,Maraja do Sena
24/12/2019,0,0,,MA,Arame
24/12/2019,0.09,0,,MA,Santa Luzia
24/12/2019,0.21,0,,MA,Maraja do Sena
24/12/2019,0.08,0,,MA,Arame
24/12/2019,0.06,0,,MA,Maraja do Sena
24/12/2019,0.07,0,,MA,Maraja do Sena
24/12/2019,0.07,0,,PA,Nova Esperança do Piria
24/12/2019,0.07,0,,MA,Maraja do Sena
24/12/2019,0.08,0,,MA,Santa Luzia
24/12/2019,0.17,0,,MA,Santa Luzia
24/12/2019,0.17,0,,MA,Santa Luzia
24/12/2019,0.17,0,,PA,Cachoeira do Piria
24/12/2019,0.1,0,,MA,Bom Jesus das Selvas
24/12/2019,0.15,0,,MA,Bom Jesus das Selvas
24/12/2019,0.08,0,,MA,Santa Luzia
24/12/2019,0.07,0,,MA,Santa Luzia
24/12/2019,0.06,0,,MA,Santa Luzia
24/12/2019,0.17,0,,MA,Santa Luzia
24/12/2019,0.07,0,,MA,Santa Luzia
24/12/2019,0.07,0,,MA,Santa Luzia
24/12/2019,0.09,0,,MA,Santa Luzia
24/12/2019,0.06,0,,MA,Santa Luzia
24/12/2019,0.06,0,,MA,Santa Luzia
24/12/2019,0.07,0,,MA,Santa Luzia
24/12/2019,0.08,0,,MA,Santa Luzia
24/12/2019,0.17,0,,MA,Santa Luzia
24/12/2019,0.11,0,,MA,Santa Luzia
24/12/2019,0.12,0,,MA,Carutapera
24/12/2019,0.08,0,,MA,Carutapera
25/12/2019,0,0,,AM,Autazes
25/12/2019,0.1,0,,AM,Careiro
25/12/2019,0.07,0,,AM,Manaus
24/12/2019,0.12,0,,MA,Santa Luzia
24/12/2019,0.07,0,,MA,Santa Luzia
25/12/2019,0.14,0,,RO,Costa Marques
25/12/2019,0.09,0,,RO,Nova Mamore
25/12/2019,0.13,0,,RO,Seringueiras
25/12/2019,0.09,0,,RO,Sao Francisco do Guapore
25/12/2019,0.01,0,,RO,Seringueiras
25/12/2019,0.5,0,,RO,Sao Francisco do Guapore
24/12/2019,1.16,0,,PA,Ulianopolis
24/12/2019,0.64,0,,PA,Ulianopolis
24/12/2019,0.25,0,,PA,Ulianopolis
25/12/2019,0.45,0,,RO,Candeias do Jamari
25/12/2019,0.12,0,,RO,Candeias do Jamari
25/12/2019,0.19,0,,RO,Candeias do Jamari
25/12/2019,0.11,0,,RO,Candeias do Jamari
25/12/2019,0.07,0,,RO,Guajara-Mirim
